Type,Name,Address,Rooms,Grade,District,PS/MC/UC,Logitiute,Latitude,AGA Division
bangalows,lands end,"649/13,sk town,meddawatta,matara",3,standard,matara,matara divisional secretariat,80.570361,5.939156,matara
bangalows,cocoon hills,"21a,glenfall road,nuwara eliya",6,deluxe,nuwara eliya,nuwara eliya divisional secretariat,nan,nan,nuwara eliya
bangalows,serenity villa,"no.14/2,amarasena mawatha,hikkaduwa",3,standard,galle,hikkaduwa divisional secretariat,80.101597,6.139843,hikkaduwa
bangalows,spring acre,"no.495 a-4, kandy road, toppass,nuwara eliya",4,deluxe,nuwara eliya,nuwara eliya divisional secretariat,80.748221,6.990897,nuwara eliya
bangalows,tea hills,"lynd heaven , fruit hill, hatton",4,superior,nuwara eliya,nuwara eliya divisional secretariat,80.590915,6.896988,nuwara eliya
bangalows,thambaravila,"""thambaravila"",no.44/5,5th lane,nawala road,rajagiriya",2,superior,colombo,kotte divisional secretariat,nan,nan,kotte muncipal council
bangalows,reef edge resort,"no 11c, beach road , polhena ,matara",4,superior,matara,matara divisional secretariat,80.528325,5.936969,matara
bangalows,lankan brunch,"no.152 ,palliyawatta road, hendala, wattala",5,superior,gampaha,wattala divisional secretariat,nan,nan,wattala pradeshiya sabha
bangalows,the ocean front,"14, sellamuttu avenue, colombo 3",6,deluxe,colombo,colombo divisional secretariat,79.8491,6.908351,colombo
bangalows,richards,"no. 08, samadhi mawatha, wellangolla road, kurunegala",5,standard,kurunegala,kurunegala divisional secretariat,nan,nan,kurunegala
bangalows,mountain gem,"237a, srimath kuda ratwatta mw, kandy.",4,superior,kandy,kandy divisional secretariat,nan,nan,kandy
bangalows,avana,"35, charles place, colombo 3.",3,deluxe,colombo,colombo divisional secretariat,nan,nan,colombo
bangalows,jasmine homes,"27/1, greenfield park, madiwela, kotte",3,deluxe,colombo,colombo divisional secretariat,79.92095,6.876324,colombo
bangalows,ceilao villas colombo,"47/1,jawatte road, colombo 5.",6,deluxe,colombo,colombo divisional secretariat,79.867188,6.897036,colombo
bangalows,5th lane house,"51/1a, fifth lane colombo 3.",4,deluxe,colombo,colombo divisional secretariat,79.854306,6.904586,colombo
bangalows,kikili house,"32, lower dickson road, galle.",4,deluxe,galle,galle divisional secretariat,nan,nan,galle
bangalows,amaya bungalow,"258, bowalawatta,kandy",8,deluxe,kandy,kandy divisional secretariat,nan,nan,kandy
bangalows,cinnamon villa,"kadjugasduwa estate,miriswatta, haburugala, bentota.",4,superior,galle,benthota divisional secretariat,nan,nan,bentota pradeshiya sabha
bangalows,mutton button,"96/21/d, rajapihilla mawatha, kandy",8,deluxe,kandy,kandy divisional secretariat,80.644256,7.284123,kandy
bangalows,ceilao villas kirinda,"suduwelipalassa, kattadiwewa, kirinda.",2,deluxe,hambantota,hambantota divisional secretariat,81.33386,6.228375,hambantota
bangalows,ceilao villas kabalana,"kabalana, welhengoda, ahangama.",4,deluxe,galle,galle divisional secretariat,80.346907,5.978085,galle
bangalows,forest villa,"185b, rajapihilla mw, kandy",5,superior,kandy,kandy divisional secretariat,80.643597,7.284137,kandy
bangalows,viharagala estate bungalow,"beragala koslanda rd, nikapotha p.o. via haputale",5,deluxe,badulla,haldummulla divisional secretariat,80.941688,6.760753,haldummulla pradeshiya sabha
