Type,Name,Address,Rooms,Grade,District,PS/MC/UC,Logitiute,Latitude,AGA Division
classified hotels( 1-5 star),paradise beach hotel,"no:289, lewis place,negombo",61,one,gampaha,gampaha divisional secretariat,79.8386973,7.231262,gampaha
classified hotels( 1-5 star),colombo courtyard,"435,r.a de mel mawatha,colombo 03",32,three,colombo,colombo divisional secretariat,79.8542653,6.897765,colombo
classified hotels( 1-5 star),hotel janaki,"43, fife road, thimbirigasyaya,colombo 05",43,one,colombo,colombo divisional secretariat,79.8676014,6.8907555,colombo
classified hotels( 1-5 star),villa ocean view,"200/1, molligodawatta,wadduwa",143,one,kalutara,kalutara divisional secretariat,79.9286243,6.6552759,kalutara pradeshiya sabha
classified hotels( 1-5 star),shangri- la hotel colombo,"no-01, centre road, galle face, colombo 02",541,three,colombo,colombo divisional secretariat,79.844619,6.928216,colombo
classified hotels( 1-5 star),pandanus beach resort & spa,"galle road,yalegama,induruwa 80510",76,three,galle,galle divisional secretariat,80.0076288,6.3797342,galle
classified hotels( 1-5 star),jetwing lake,"wijekumarathunga mawatha,yapagama,dambulla.",94,four,matale,matale divisional secretariat,80.6465143,7.839867,matale
classified hotels( 1-5 star),the lakeside at nuwarawewa,"new town,anuradhapura",70,two,anuradhapura,anuradhapura east,80.4129173,8.337355,anuradhapura
classified hotels( 1-5 star),the sanctuary at tissawewa,"old town,anuradhapura",22,two,anuradhapura,anuradhapura east,80.3879227,8.3423584,anuradhapura
classified hotels( 1-5 star),ozo kandy,"no31,saranankara road,kandy",122,three,kandy,kandy divisional secretariat,80.6405117,7.2883697,kandy
classified hotels( 1-5 star),the golden crown hotel,"322,udagama,ampitiya",63,three,kandy,gagawata,80.655418,7.277162,gagawata koralya
classified hotels( 1-5 star),grand udawalawe safari resort,"no 912, thanamalvila road,udawalawa",57,four,ratnapura,embilipitiya divisional secretariat,80.8040993,6.419811,udawalawa
classified hotels( 1-5 star),lavanga resort and spa,"galle road,pathuwatha,hikkaduwa",20,two,galle,hikkaduwa divisional secretariat,80.1175713,6.115437,hikkaduwa
guest houses,almamali hotel,"hedaketiya,angunukolapelessa",12,b,hambantota,angunakolapelessa divisional secretariat,80.8983713,6.164142,batticaloa
guest houses,buwaneka hotel and restaurant,"no 01,dambulla road,kurunegala",7,b,kurunegala,kurunegala divisional secretariat,80.3626379,7.4893989,kurunegala
guest houses,hotel lagoon paradise,"no. 12/7,rajawatte,pamunugama",8,a,gampaha,negombo divisional secretariat,79.838623,7.135494,negombo
guest houses,ambasevana walauwa,"aranayake road,ussapitiya,kegalle.",7,a,kegalle,aranayaka divisional secretariat,80.442372,7.248193,kegalle
guest houses,acme guest house,"no.90,polonnaruwa road,habarana",5,b,polonnaruwa,polonnaruwa divisional secretariat,nan,nan,polonnaruwa
guest houses,ahangama easy beach,"no.12,ahangama galle.",8,a,galle,habaraduwa divisional secretariat,nan,nan,habaraduwa
guest houses,shangrela beach resort,"38, sea beach road, ambalangoda",19,b,galle,galle divisional secretariat,80.051208,6.237265,ambalangoda
guest houses,grand crown hotel,"891,milagas junction,anuradhapura",10,a,anuradhapura,anuradhapura east,80.4063884,8.3208563,anuradhapura
guest houses,sakura tourist inn,"7/1,old station road,mount lavinia.",12,b,colombo,mount lavinia,nan,nan,dehiwala-mount lavinia
guest houses,jayalath inn,"no.269,weligampitiya, jaela",6,c,gampaha,ja-ela divisional secretariat,79.894116,7.068365,gampaha
guest houses,nugasewana eden guest house and restaurant,"""nugasewana"",pallikkudawa,tangalle.",6,b,hambantota,tangalle divisional secretariat,80.788431,6.017925,tangalle pradeshiya sabha
guest houses,viveka guest house,"64,north lake road,kurunagala.",5,a,kurunegala,kurunegala divisional secretariat,80.364746,7.496378,kurunegala
guest houses,hotel nature gardens,"no.31,kandy road,yakkala",9,a,gampaha,gampaha divisional secretariat,nan,nan,gampaha
guest houses,juliana hotel,"no.316,galle road,colombo 3",51,a,colombo,colombo divisional secretariat,79.850259,6.90929,colombo
guest houses,finominal guest,"mulanagoda road, angunukolapelassa.",6,a,hambantota,angunakolapelessa divisional secretariat,nan,nan,angunakolapelessa
guest houses,thalagala holiday inn,"222/a,thalagalawatta road,kiriwattuduwa.",9,b,kalutara,horana divisional secretariat,nan,nan,horana pradeshiya sabha
guest houses,hotel rajiu palace,"no. 69, green state, bingiriya",12,a,kurunegala,bingiriya divisional secretariat,nan,nan,bingiriya pradeshiya sabha
guest houses,the blue magpie,"kudawa weddagala, kalawana",12,a,ratnapura,kalawana divisional secretariat,80.417373,6.443468,ratnapura
guest houses,ramboda falls hotel,"76, rock fall estate, nuwara eliya road, ramboda",24,a,nuwara eliya,nuwara eliya divisional secretariat,80.698155,7.055811,nuwara eliya
guest houses,lake lodge guest house,"no.20, alwis terrace, colombo 03.",13,a,colombo,thimbirigasyaya divisional secretariat,79.854373,6.914976,colombo
guest houses,asnara village,"moragaswewa,habarana.",12,a,polonnaruwa,hingurakgoda divisional secretariat,80.779024,8.031269,hingurakgoda pradeshiya sabha
guest houses,polwaththa eco-lodges,"69/1, wepathana, gomagoda.",5,b,kandy,kundasale divisional secretariat,80.73704,7.326892,kandy
guest houses,hotel sanda diya,"polonnaruwa road,pelwehera,dambulla.",6,a,matale,dambulla divisional secretariat,80.677257,7.910221,dambulla pradeshiya sabha
guest houses,new panorama,"no 302/1, maradana road, moragalla, beruwala",9,b,kalutara,beruwala divisional secretariat,79.97774,6.457364,beruwala pradeshiya sabha
guest houses,batticaloa holiday resort,"kalmunai main road, kaluwanchikudi",7,a,batticaloa,batticaloa divisional secretariat,nan,nan,batticaloa
guest houses,marina bentota,"paradise island, national holiday resort, bentota.",13,a,galle,benthota divisional secretariat,79.994808,6.428809,bentota pradeshiya sabha
guest houses,pearl cliff hotel,"no.25c, browns hill, matara",10,a,matara,matara divisional secretariat,80.565161,5.942197,matara
guest houses,hotel rehans,kandalama mirigama,6,a,gampaha,mirigama divisional secretariat,nan,nan,gampaha
guest houses,cantaloupe villas,"matara road, palatugaha junction, habaraduwa",16,a,galle,habaraduwa divisional secretariat,80.294133,5.994196,habaraduwa
guest houses,royal garden guest house,"200,horowapothana road,vavuniya",5,b,vavuniya,vavuniya,80.501698,8.754049,vavuniya
guest houses,dampe village,"222,dampe,madapatha.",11,a,colombo,kesbewa divisional secretariat,79.915921,6.771875,kesbewa
guest houses,lufortune,"no.108,108/1,108/b, siribopura, hambantota.",10,b,hambantota,hambantota divisional secretariat,nan,nan,hambantota
guest houses,jasmine inn,"matara road, talpe",12,b,galle,habaraduwa divisional secretariat,80.266027,5.999494,habaraduwa
guest houses,hotel canolack,"no.10,pilana road,habaraduwa.",8,a,galle,habaraduwa divisional secretariat,nan,5.99471,habaraduwa
guest houses,aqua pearl lake resort,"201, galkanuwa road, gorakana moratuwa",20,a,colombo,moratuwa divisional secretariat,79.909622,6.763687,moratuwa
guest houses,aquarius resort,"beach road, marawila.",20,a,puttalam,mahawewa divisional secretariat,nan,nan,puttalam pradeshiya sabha
guest houses,sea port guest house,"no.70, ethukala, negombo",10,a,gampaha,negombo divisional secretariat,79.841867,7.240334,negombo
guest houses,brighten rest,"214/2, messenger street , colombo 12",24,a,colombo,colombo divisional secretariat,79.863959,6.94154,colombo
guest houses,cottage tourist rest,"388/38, harischandra mawatha, anuradhapura",6,b,anuradhapura,anuradhapura east,80.416088,8.332007,anuradhapura
guest houses,sheshesu guest house & wedding hall,"sheshesu guest house,old batapola road,kurudugaha hatapma,elpitiya.",6,b,galle,karandeniya divisional secretariat,nan,nan,ambalangoda
guest houses,shehara hotel,"kolawagahakanaththa,komangoda,thihagoda.",5,b,matara,thihagoda divisional secretariat,nan,nan,thihagoda pradeshiya sabha
guest houses,gihans family restaurant and guest,"no 90, s. d. s jayasinghe mawatha, kohuwala",5,b,colombo,colombo divisional secretariat,79.908237,6.857903,dehiwala-mount lavinia
guest houses,linrose hotel,"175/1, kandy road, aluthgama, bogamuwa, yakkala",9,a,gampaha,gampaha divisional secretariat,80.048479,7.109119,gampaha
guest houses,dharshana restaurant,"matara road, makandura",5,b,matara,mulatiyana divisional secretariat,80.556558,6.138621,mulatiyana pradeshiya sabha
guest houses,villa yasmin,"villa yasmin, maradana road, moragalla, beruwala",6,a,kalutara,kalutara divisional secretariat,nan,nan,beruwala pradeshiya sabha
guest houses,jade way hotel & resort,"vidyaloka mawatha, pallegama embilipitiya",11,b,ratnapura,embilipitiya divisional secretariat,nan,nan,embilipitiya
guest houses,monrepo guest house and restaurant,"no 107, gala junction kandy road kiribathgoda",17,b,gampaha,gampaha divisional secretariat,79.932947,6.984369,mahara pradeshiya sabha
guest houses,the other corner,"laksirigama, paligaswewa, habarana",9,a,anuradhapura,anuradhapura east,80.742822,8.038626,anuradhapura
guest houses,new kothmale holiday resort,"river side,mawatura,gampola.",5,a,kandy,kandy divisional secretariat,80.594895,7.063906,gampola
guest houses,hotel green palace,"57/30, nittambuwa road, veyangoda",15,a,gampaha,attanagalla divisional secretariat,nan,nan,attanagalla pradeshiya sabha
guest houses,wagon wheel,"245/1, hill house gardens,dehiwala.",5,a,colombo,dehiwala divisional secretariat,79.866431,6.851757,dehiwala-mount lavinia
guest houses,jaffna rest,"no.16.rajeshwari weethi,nayanamarkadu,jaffna.",5,b,jaffna,thirukkovil divisional secretariat,nan,nan,jaffna
guest houses,south star hotel,"kabalana road,kathaluwa,ahangama.",12,a,galle,habaraduwa divisional secretariat,nan,nan,habaraduwa
guest houses,soba lanka holiday resort,"balawattala road, melsiripura.",9,b,kurunegala,ibbagamuwa divisional secretariat,80.505763,7.626349,ibbagamuwa pradeshiya sabha
guest houses,new wadduwa beach resort,"no 14, rathnayaka place, thalpitiya south, wadduwa",11,a,kalutara,panadura divisional secretariat,79.922276,6.673997,panadura pradeshiya sabha
guest houses,colombo swimming club,"storm lodge, no 148, galle road, colombo 03",17,a,colombo,thimbirigasyaya divisional secretariat,79.847602,6.914766,colombo
guest houses,riverdale villas,"no 46, galle road, moragalla, aluthgama",8,a,kalutara,beruwala divisional secretariat,79.990433,6.445542,beruwala pradeshiya sabha
guest houses,nithila inn,"228/j, bandaragama road, kesbewa",6,b,colombo,kesbewa divisional secretariat,79.940755,6.794258,kesbewa
guest houses,dil rest,"ratnapura road, gurugoda, horana",6,a,kalutara,horana divisional secretariat,80.099906,6.730412,horana pradeshiya sabha
guest houses,lagoon view guest house and restaurant,"station kanda, horawala, haburugala",5,a,galle,benthota divisional secretariat,nan,nan,bentota pradeshiya sabha
guest houses,ocean villa,"no. 14, john keels housing complex, pinwatta, panadura",4,a,kalutara,panadura divisional secretariat,79.930813,6.655353,panadura pradeshiya sabha
guest houses,hill top holiday inn,"no. 150, kandalanda, high level road, homagama",10,b,colombo,homagama divisional secretariat,nan,nan,homagama pradeshiya sabha
guest houses,syzygy garden,"no. 475, kurundankulama anuradhapura",7,b,anuradhapura,anuradhapura east,80.446212,8.346319,anuradhapura
guest houses,kanro holiday resort,"no. 117, hanwella road, tittapaththara",7,b,gampaha,gampaha divisional secretariat,80.084443,6.930542,gampaha
guest houses,the mountain heavens,"kithal ella, ella",9,a,badulla,ella divisional secretariat,81.046036,6.871162,ella pradeshiya sabha
guest houses,solis tourist rest,"no. 217, nupe, matara",10,a,matara,matara divisional secretariat,80.536898,5.948347,matara
guest houses,anon rest,"yapagama, matale road, dambulla",18,a,matale,dambulla divisional secretariat,80.653899,7.846443,dambulla pradeshiya sabha
guest houses,hotel westeern,"no. 35, frankfurt place, colombo 04",44,a,colombo,colombo divisional secretariat,79.855433,6.883914,colombo
guest houses,hotel green valley,"old colombo road, hanwella",18,a,colombo,colombo divisional secretariat,80.077071,6.909187,colombo
guest houses,lagoon garden,"kalawilawatta, moragalla, aluthgama",5,b,kalutara,beruwala divisional secretariat,79.991388,6.445224,beruwala pradeshiya sabha
guest houses,greenlands hotel,"3a, shrubery gardens, bambalapitiya, colombo 04",16,a,colombo,thimbirigasyaya divisional secretariat,nan,nan,colombo
guest houses,hotel elephant view,"pinnawala, rambukkana",4,a,kegalle,rambukkana divisional secretariat,80.385921,7.298837,rambukkana pradeshiya sabha
guest houses,hotel rosilu,"no. 60/5/a, kandy road, thihariya, kalagedihena",6,b,gampaha,attanagalla divisional secretariat,80.068738,7.124225,attanagalla pradeshiya sabha
guest houses,ishan hotel,"no. 583, colombo road, utuwankanda, mawanella",10,a,kegalle,mawanella divisional secretariat,80.428744,7.2519,kegalle
guest houses,surfing villa,"welhangoda, ahangama,",6,b,galle,habaraduwa divisional secretariat,80.348913,5.978203,habaraduwa
guest houses,hotel blue note,"no. 424, galle road, hikkaduwa",9,b,galle,hikkaduwa divisional secretariat,80.104097,6.12801,hikkaduwa
guest houses,olanka hotel and restaurant,"no. 9th lane, mile post, karuwalagaswewa, puttlam",8,b,puttalam,karuwalagaswewa divisional secretariat,79.959919,8.057558,karuwalagaswewa pradeshiya
guest houses,oasis green garden tourisrt guest house,"udugampolawatta, pahalagama, gampaha",10,a,gampaha,gampaha divisional secretariat,nan,nan,gampaha
guest houses,hotel sumadai,"no. 61, bandarawaththa, beruwala",21,a,kalutara,beruwala divisional secretariat,79.975532,6.467535,beruwala pradeshiya sabha
guest houses,villa palma beach resort,"beach road, pamunugama, ja-ela",19,a,gampaha,ja-ela divisional secretariat,79.84844,7.085179,gampaha
guest houses,air link rest inn,"no. 580, negombo road, seeduwa",15,a,gampaha,katana divisional secretariat,79.877075,7.12633,katunayake-seeduwa
guest houses,aubrona hotel,"no. 81, new road, hunupitiya wattala",50,a,gampaha,kelaniya divisional secretariat,79.907996,6.982729,kelaniya pradeshiya sabha
guest houses,hotel dhammika,"yaddehimulla road, unawatuna, galle",6,b,galle,habaraduwa divisional secretariat,80.246331,6.009779,habaraduwa
guest houses,amico restaurant and guest house,"no. 138/1, gampola road, nawalapitiya.",5,b,kandy,koralai pattu divisional secretariat,nan,nan,pasbage korale pradeshiya sabha
guest houses,amalya reach resort,"no. 556, moragahahena road, pitipana north, homagama",16,a,colombo,homagama divisional secretariat,80.021092,6.840281,homagama pradeshiya sabha
guest houses,asian jewel hotel,"""field view"", baddegama road, nalagasdeniya, hikkaduwa",7,b,galle,hikkaduwa divisional secretariat,80.118417,6.14168,hikkaduwa
guest houses,nippon inn,"no. 466, artigala road, meegoda",6,a,colombo,homagama divisional secretariat,nan,nan,homagama pradeshiya sabha
guest houses,transend holiday resort,"""thusitha"" , siyambalagoda, polgasowita",5,b,colombo,homagama divisional secretariat,nan,nan,homagama pradeshiya sabha
guest houses,leopard den,"wilpattu junction, pahalamaragahawewa",12,a,anuradhapura,anuradhapura east,80.202998,8.260678,anuradhapura
guest houses,new everest chinese restaurant and guest house,"no. 11/3, mankada road, kadawatha",8,a,gampaha,biyagama divisional secretariat,nan,nan,biyagama pradeshiya sabha
guest houses,new imperial guest house,"no. 500, galle road, wewala, hikkaduwa",5,b,galle,hikkaduwa divisional secretariat,80.10559,6.127181,hikkaduwa
guest houses,sadamin guest house,"no. 11, wewelduwa road, hunupitiya, wattala",10,a,gampaha,kelaniya divisional secretariat,nan,nan,kelaniya pradeshiya sabha
guest houses,nadeesha holiday inn and restaurant,"mathara road, kamburupitiya",6,b,matara,kamburupitiya divisional secretariat,nan,nan,kamburupitiya pradeshiya sabha
guest houses,nedagamuwa village inn,"no. 76, udugampola road, nedugamuwa, kotugoda",7,a,gampaha,minuwangoda divisional secretariat,79.94518,7.122843,minuwangoda pradeshiya sabha
guest houses,new dragon restaurant and guest house,"no. 448, galle road, nalluruwa, panadura",5,b,kalutara,kalutara divisional secretariat,nan,nan,panadura pradeshiya sabha
guest houses,diyaluma falls inn,"no. 14, diyaluma, koslanda",9,a,badulla,haldummulla divisional secretariat,81.030733,6.72828,haldummulla pradeshiya sabha
guest houses,nathalia tourist hotel,"no. 636/1, liyanagemulla, seeduwa",12,b,gampaha,katana divisional secretariat,79.874098,7.146048,katana pradeshiya sabha
guest houses,raashi lake resort,"374/4, galle road, gorakana, keselwatte",16,b,kalutara,panadura divisional secretariat,79.896623,6.764255,panadura pradeshiya sabha
guest houses,hotel thushara,"welimada road, boralanda",10,b,badulla,welimada divisional secretariat,nan,nan,welimada pradeshiya sabha
guest houses,sri gemunu guest house,"dalawella, unawatuna, galle",20,a,galle,habaraduwa divisional secretariat,80.262016,6.000509,habaraduwa
guest houses,victoriya reach tourist guest house,"133/2, hanguranketha road, gurudeniya.",6,b,kandy,kandy divisional secretariat,80.673613,7.275099,kandy
guest houses,victory inn,"no. 65, wellawaya road, monaragala",12,a,moneragala,moneragala divisional secretariat,81.347934,6.868747,thissamaharama
guest houses,varnias beach villa,"no. 6/1, sea view road, lewis place, negombo",6,a,gampaha,negombo divisional secretariat,nan,nan,negombo
guest houses,summer club,"river view road, hirana, panadura",5,b,kalutara,panadura divisional secretariat,79.945353,6.743163,panadura pradeshiya sabha
guest houses,sasell guest house,"no. 224, old galle road, pallimulla, panadura",8,a,kalutara,panadura divisional secretariat,nan,nan,panadura pradeshiya sabha
guest houses,sanhinda rest,"no. 10, regis illeperuma mawatha, uluvitike, galle",5,b,galle,bope-poddala divisional secretariat,nan,nan,bope
guest houses,solis tourist guest house,"no. 533 1/1, nawala road, rajagiriya",14,a,colombo,colombo divisional secretariat,nan,nan,sri jayawardenapura-kotte
guest houses,south beach resort,"poloyamodara wattha, kathaluwa, ahangama",22,a,galle,habaraduwa divisional secretariat,80.336367,5.982629,habaraduwa
guest houses,st. lachlan hotel and suites,"no. 25, st anthonys lane, ethukala, negombo",16,a,gampaha,negombo divisional secretariat,79.842631,7.24018,negombo
guest houses,sea view guest house,"devala road, unawatuna, galle",12,b,galle,habaraduwa divisional secretariat,80.243747,6.010399,habaraduwa
guest houses,sanowin guest house and restaurant,"no. 223/1, kandalandu, high level road, homagama",5,b,colombo,homagama divisional secretariat,nan,nan,homagama pradeshiya sabha
guest houses,rainbow beach villa,"no. 30/1, dharmapala road, mount lavinia",18,b,colombo,mount lavinia,nan,nan,dehiwala-mount lavinia
guest houses,serene bridge resort,"no. 182/2, high level road, wataraka, padukka",10,a,colombo,homagama divisional secretariat,80.078141,6.854048,homagama pradeshiya sabha
guest houses,hotel miyora,"yatiberiya, pitawala, nawalapitiya",22,a,nuwara eliya,nuwara eliya divisional secretariat,80.43517,6.990179,nawalapitiya
guest houses,old fashion guest house,"no. 18, gampaha road, ambagahawatta, minuwangoda",5,b,gampaha,minuwangoda divisional secretariat,79.94703,7.163702,minuwangoda pradeshiya sabha
guest houses,hotel windsurf,"no. 15a, de zoysa avanue, mount laviniya",12,b,colombo,ratmalana divisional secretariat,nan,nan,colombo
guest houses,hideaway resort,"ulle, pottuvil",13,b,ampara,pottuvil divisional secretariat,81.831908,6.841615,ampara
guest houses,sunray inn,"no. 156, kandy road, dambulla",8,a,matale,dambulla divisional secretariat,80.652218,7.861287,dambulla pradeshiya sabha
guest houses,ocean view tour inn,"no. 34/4, de seram road, mount laviniya",23,a,colombo,mount lavinia,79.863653,6.839774,colombo
guest houses,green inn restaurant,"no.60, kandy road, chundikuli, jaffna",7,b,jaffna,aluthgama,80.027023,9.660214,jaffna
guest houses,new green inn restaurant,"no.258/3, kandy road, jaffna",7,b,jaffna,jaffna divisional secretariat,80.027023,9.660209,jaffna
guest houses,pillaiar inn and pillaiar stores,"no. 31, manipay road, jaffna",22,a,jaffna,jaffna divisional secretariat,80.009551,9.670069,jaffna
guest houses,nilara inn,"ambagamuwa, udabulathgama",12,a,nuwara eliya,ambagamuwa divisional secretariat,nan,nan,ambagamuwa pradeshiya sabha
guest houses,jays holiday resort,"threesinghagama, moragaswawe, habarana",8,a,polonnaruwa,hingurakgoda divisional secretariat,80.76564,8.029694,hingurakgoda pradeshiya sabha
guest houses,hotel refresh,"katharagama road, punchi akurugoda, thissamaharama",5,a,hambantota,thissamaharama divisional secretariat,nan,nan,thissamaharama
guest houses,j.cs village,"no. 175, kandy road, kapuwatta, dambulla",12,a,matale,dambulla divisional secretariat,80.655484,7.838936,dambulla pradeshiya sabha
guest houses,jaffna city hotel,"no. 70/06, k. k. s road, jaffna",8,a,jaffna,jaffna divisional secretariat,80.009635,9.665792,jaffna
guest houses,joes habarana village,"no. 107, mile post, kimbissa.",12,a,matale,dambulla divisional secretariat,80.72963,7.997661,dambulla pradeshiya sabha
guest houses,nature trails hotel,"no. 234, polonnaruwa road, girithale",6,b,polonnaruwa,hingurakgoda divisional secretariat,80.959299,8.029267,hingurakgoda pradeshiya sabha
guest houses,superstar tourist inn,"no. 23/1, yard road, kalmunai 01",15,b,ampara,kalmunai divisional secretariat,81.824219,7.420669,kalmunai
guest houses,hotel sansu,"no.651/31- b, elvitigala mawatha, colombo 05",18,a,colombo,thimbirigasyaya divisional secretariat,79.877542,6.888832,colombo
guest houses,kingdom rest inn,"no. 174/3, meepe junction, padukka",5,b,colombo,padukka divisional secretariat,nan,nan,colombo
guest houses,ceylan hotel,"""ivies b"",hatton road,yatiyantota",11,a,kegalle,kegalle divisional secretariat,nan,nan,yatiyantota pradeshiya sabha
guest houses,green grass hotel & restaurant,"no. 33, aseervatham lane, hospital road, jaffna",25,a,jaffna,jaffna divisional secretariat,80.021882,9.664293,jaffna
guest houses,k. j senior citizens recreation club,"no:100 e,bopitiya road,uswetakeiyawa",7,b,gampaha,wattala divisional secretariat,nan,nan,wattala pradeshiya sabha
guest houses,ocean dreams hotel,"janisgewatta,""aranwala"",matara rd,ahangama",13,a,galle,habaraduwa divisional secretariat,80.376404,5.966579,habaraduwa
guest houses,royal grand hotel and restaurant,"puttalam road ,kelimune,mahakeliya",6,a,kurunegala,bamunakotuwa divisional secretariat,nan,nan,wariyapola pradeshiya sabha
guest houses,s.t .raaj restaurant and guest house,"old hospital road,akkaraipattu-09",6,c,ampara,alayadiwembu divisional secretariat,81.856883,7.206247,ampara
guest houses,wasantha guest house & restaurant,"ambalangoda road,elpitiyta.",18,b,galle,elpitiya divisional secretariat,80.054295,6.232812,ambalangoda
guest houses,seventh heaven hotel,"26th mile,kandy road,nittambuwa.",14,b,gampaha,attanagalla divisional secretariat,nan,nan,attanagalla pradeshiya sabha
guest houses,laluna hotel,"no.6,kaluwamodara,aluthgama.",14,b,kalutara,aluthgama,79.994732,6.435952,aluthgama
guest houses,beach view guest house,"lion pub,220 galle road,mount lavinia.",14,b,colombo,ratmalana divisional secretariat,nan,nan,dehiwala-mount lavinia
guest houses,hotel sella rest,"no.46, kanakapuram road, uthayangar west, kilinochchi.",10,b,kilinochchi,karachchi,80.396111,9.383397,karachchi
guest houses,"taprospa ""tissa""","no.15,tissawewa road,tissamaharama.",15,a,hambantota,thissamaharama divisional secretariat,81.290697,6.291296,thissamaharama
guest houses,palace mirissa,"kopparamulla,mirissa.",13,a,matara,weligama divisional secretariat,80.454304,5.94293,weligama pradeshiya sabha
guest houses,loon tao,"43\12 beach road,mount lavinia.",5,b,colombo,colombo divisional secretariat,79.863186,6.839039,dehiwala-mount lavinia
guest houses,beach hotel black orchid,"galle road, kikawala, induruwa",10,a,galle,benthota divisional secretariat,80.009809,6.381604,bentota pradeshiya sabha
guest houses,chayanika beach hotel,"no. 21, fonseka lane, kalutara north",22,a,kalutara,kalutara divisional secretariat,79.954171,6.595533,kalutara pradeshiya sabha
guest houses,serendipity holiday resort,"no. 73/1 a, kalavilawatta, kaluwamodara, aluthgama",9,b,kalutara,beruwala divisional secretariat,79.989221,6.447703,beruwala pradeshiya sabha
guest houses,seoul hotel,"no.72, oruthota road, gampaha",5,b,gampaha,gampaha divisional secretariat,nan,nan,gampaha
guest houses,sandakelum tourist guest house,"no. 29, park avanue, dangolla, kandy",13,a,kandy,kandy divisional secretariat,80.61017,7.267498,kandy
guest houses,dambulla rest house,dambulla,4,b,matale,dambulla divisional secretariat,nan,nan,dambulla pradeshiya sabha
guest houses,hanwella rest house,hanwella,8,b,colombo,seethawaka divisional secretariat,80.082467,6.910321,seethawaka pradeshiya sabha
guest houses,habarana rest house,habarana,4,b,anuradhapura,dambulla divisional secretariat,nan,nan,dambulla pradeshiya sabha
guest houses,reggies guest house and restaurant,"no.177,poruthota road,palagathurai,kochchikade,negombo.",10,b,gampaha,negombo divisional secretariat,79.841888,7.249863,negombo
guest houses,ayurveda shunyata villa,"no:660/a,galle road,galaboda,induruwa",5,a,galle,benthota divisional secretariat,80.008527,6.384861,bentota pradeshiya sabha
guest houses,sigiriya rest house,sigiriya,14,a,matale,dambulla divisional secretariat,nan,nan,dambulla pradeshiya sabha
guest houses,medawachchiya rest house,medawachchiya,4,b,anuradhapura,anuradhapura east,80.415532,8.323678,anuradhapura
guest houses,kithulgala rest house,kithulgala,19,a,kegalle,yatiyanthota divisional secretariat,80.405998,6.995549,yatiyantota pradeshiya sabha
guest houses,polonnaruwa rest house,polonnaruwa,10,a,polonnaruwa,thamankaduwa divisional secretariat,nan,nan,tamankaduwa pradeshiya sabha
guest houses,bay inn,weligama,10,b,matara,weligama divisional secretariat,nan,nan,weligama
guest houses,belihuloya rest house,belihuloya,15,a,ratnapura,ratnapura divisional secretariat,80.769503,6.717253,ratnapura
guest houses,chanuka tourist guest house,"no:29,frances road,wellawatta,colombo 06",10,b,colombo,colombo divisional secretariat,79.858306,6.875813,colombo
guest houses,brookside nature resort,"elkaduwa,wattegama",16,a,kandy,pathadumbara divisional secretariat,nan,nan,kandy
guest houses,golden coconut cabanas,"welladdaya,rekewa,ranna",5,b,hambantota,tangalle divisional secretariat,nan,nan,tangalle pradeshiya sabha
guest houses,sinel guest house,"no:172/14,meepe watte,meepe,padukka",10,b,colombo,padukka divisional secretariat,nan,nan,seethawaka pradeshiya sabha
guest houses,kamvelta holiday resort,"kindelpitiya junction,welmilla,bandaragama",6,a,kalutara,bandaragama divisional secretariat,79.957457,6.751599,bandaragama pradeshiya sabha
guest houses,elements water sports & nature resort,"kappalady,kalpitiya.",5,b,puttalam,kalpitiya divisional secretariat,79.705919,8.134297,kalpitiya pradeshiya sabha
guest houses,gunners' club,"artillery complex ,minneriya",16,a,polonnaruwa,hingurakgoda divisional secretariat,80.90291,8.061251,hingurakgoda pradeshiya sabha
guest houses,the ocean pearl hotel negombo.,"no:262,poruthota road,palagethure,kochchikade.",12,c,gampaha,negombo divisional secretariat,79.842497,7.254093,negombo
guest houses,new york beach club,"poruthota road,negambo",5,c,gampaha,negombo divisional secretariat,79.84165,7.238395,negombo
guest houses,b.n.c guest house,"polkotuwa,galle road,beruwala",13,a,kalutara,beruwala divisional secretariat,79.983553,6.482415,beruwala pradeshiya sabha
guest houses,a9 spot,"158,a9 road,thondaman nagar, kilinochchi.",8,a,kilinochchi,karachchi,80.408421,9.360176,karachchi
guest houses,sun and moon resort,"104/8, galle road, kaluwamodara, aluthgama.",8,a,kalutara,beruwala divisional secretariat,79.994143,6.438851,beruwala pradeshiya sabha
guest houses,hotel kintop,"ukowita,udugama",12,b,galle,nagoda divisional secretariat,nan,nan,galle
guest houses,club penthouse island resort,"no:22/1,tuduwa junction,dampe ,piliyandala",8,a,colombo,kesbewa divisional secretariat,79.924172,6.756206,kesbewa
guest houses,apsara resort,"539,kandy road,malwatta, nittambuwa.",10,a,gampaha,attanagalla divisional secretariat,80.07915,7.133494,attanagalla pradeshiya sabha
guest houses,shanthi guest house,"dalawella,unawatuna,galle.",13,b,galle,habaraduwa divisional secretariat,80.261613,6.000796,habaraduwa
guest houses,chandra guest house,"no:92,main street,tangalla",25,b,hambantota,tangalle divisional secretariat,nan,nan,tangalle pradeshiya sabha
guest houses,mawella beach resort,"mahawela road,moraketiya,nakulugama,tangalle",10,b,hambantota,tangalle divisional secretariat,80.747598,5.999027,tangalle pradeshiya sabha
guest houses,grand ella motel,ella,14,a,badulla,ella divisional secretariat,81.049067,6.871321,ella pradeshiya sabha
